line_item,budget_usd,actual_usd,variance_usd,variance_pct
Same-Store Sales,18000000,17100000,-900000,-5.0
E-commerce Revenue,4000000,4800000,800000,20.0
Total Revenue,22000000,21900000,-100000,-0.5
Cost of Goods Sold,14300000,14600000,300000,2.1
Gross Profit,7700000,7300000,-400000,-5.2
Store Operations,3800000,3950000,150000,3.9
Marketing,1100000,1250000,150000,13.6
Corporate G&A,900000,890000,-10000,-1.1
Total Operating Expenses,5800000,6090000,290000,5.0
EBIT,1900000,1210000,-690000,-36.3
EBITDA,2800000,2220000,-580000,-20.7
Net Income,1200000,780000,-420000,-35.0
